iter	Passed	Remaining
0	1	1041
1	1	787
2	2	743
3	2	741
4	3	755
5	4	731
6	5	722
7	5	719
8	6	708
9	7	696
10	7	687
11	8	682
12	8	681
13	9	675
14	10	670
15	10	665
16	11	672
17	12	672
18	12	669
19	13	665
20	14	663
21	14	658
22	15	652
23	15	650
24	16	649
25	17	649
26	18	673
27	19	672
28	20	672
29	20	672
30	21	675
31	22	673
32	22	669
33	23	667
34	24	665
35	24	662
36	25	659
37	26	658
38	26	656
39	27	654
40	27	651
41	28	651
42	29	648
43	29	648
44	30	646
45	31	645
46	31	644
47	32	643
48	33	641
49	33	640
50	34	641
51	35	638
52	35	638
53	36	636
54	36	635
55	37	637
56	38	636
57	39	636
58	39	633
59	40	632
60	41	634
61	41	633
62	42	636
63	43	638
64	44	638
65	44	636
66	45	637
67	46	636
68	47	634
69	47	633
70	48	634
71	49	634
72	49	632
73	50	631
74	51	634
75	52	633
76	52	633
77	53	632
78	54	631
79	54	629
80	55	628
81	56	630
82	56	629
83	57	629
84	58	628
85	59	627
86	59	625
87	60	624
88	60	623
89	61	620
90	62	620
91	62	619
92	63	620
93	64	619
94	64	618
95	65	617
96	66	616
97	66	615
98	67	615
99	68	613
100	68	612
101	69	611
102	70	610
103	70	609
104	71	607
105	71	606
106	72	606
107	73	604
108	73	604
109	74	603
110	75	602
111	75	602
112	76	601
113	77	600
114	77	599
115	78	597
116	79	598
117	79	597
118	80	596
119	81	594
120	81	594
121	82	593
122	83	592
123	83	592
124	84	591
125	85	590
126	85	589
127	86	588
128	87	587
129	87	588
130	88	588
131	89	586
132	89	585
133	90	584
134	91	583
135	91	582
136	92	581
137	92	580
138	93	580
139	94	579
140	95	578
141	95	577
142	96	576
143	96	576
144	97	576
145	98	575
146	99	576
147	99	575
148	100	574
149	101	573
150	101	573
151	102	572
152	103	572
153	104	571
154	104	571
155	105	570
156	106	569
157	106	569
158	107	569
159	108	568
160	108	566
161	109	565
162	109	564
163	110	563
164	111	562
165	111	561
166	112	559
167	112	559
168	113	558
169	114	558
170	114	557
171	115	556
172	116	555
173	116	554
174	117	554
175	118	553
176	118	552
177	119	551
178	120	552
179	121	551
180	121	550
181	122	550
182	123	549
183	123	548
184	124	547
185	124	546
186	125	545
187	126	545
188	126	543
189	127	543
190	128	542
191	128	541
192	129	541
193	130	540
194	130	539
195	131	538
196	131	537
197	132	536
198	133	535
199	133	535
200	134	534
201	134	533
202	135	532
203	136	531
204	136	530
205	137	529
206	137	527
207	138	526
208	138	525
209	139	524
210	140	523
211	140	522
212	141	522
213	141	521
214	142	520
215	143	519
216	143	518
217	144	517
218	144	516
219	145	515
220	145	514
221	146	513
222	147	512
223	147	511
224	148	510
225	149	510
226	149	509
227	150	508
228	150	507
229	151	506
230	151	505
231	152	504
232	153	503
233	153	502
234	154	502
235	154	501
236	155	500
237	155	499
238	156	498
239	157	497
240	157	496
241	158	495
242	158	494
243	159	493
244	159	492
245	160	493
246	161	492
247	162	492
248	163	491
249	163	491
250	164	490
251	165	490
252	165	489
253	166	488
254	167	488
255	167	487
256	168	486
257	168	485
258	169	485
259	170	485
260	171	484
261	171	484
262	172	483
263	173	483
264	174	482
265	174	481
266	175	481
267	176	481
268	176	480
269	177	480
270	178	479
271	179	479
272	179	478
273	180	478
274	181	477
275	181	476
276	182	476
277	183	475
278	183	474
279	184	474
280	184	473
281	185	472
282	186	472
283	187	471
284	187	471
285	188	470
286	189	470
287	190	470
288	190	469
289	191	469
290	192	468
291	192	467
292	193	467
293	194	466
294	194	465
295	195	465
296	196	464
297	196	463
298	197	463
299	198	462
300	198	461
301	199	460
302	199	460
303	200	459
304	201	458
305	202	458
306	202	458
307	203	457
308	204	456
309	204	455
310	205	454
311	205	454
312	206	453
313	207	452
314	207	451
315	208	450
316	208	449
317	209	448
318	209	447
319	210	447
320	210	446
321	211	445
322	212	444
323	212	443
324	213	442
325	213	441
326	214	440
327	214	439
328	215	439
329	215	438
330	216	437
331	217	437
332	217	436
333	218	435
334	219	434
335	219	434
336	220	433
337	220	432
338	221	431
339	221	430
340	222	429
341	222	428
342	223	428
343	223	427
344	224	426
345	225	425
346	225	424
347	226	424
348	226	423
349	227	422
350	227	421
351	228	420
352	228	419
353	229	418
354	230	418
355	230	417
356	231	416
357	231	415
358	232	414
359	232	414
360	233	413
361	233	412
362	234	411
363	235	410
364	235	410
365	236	409
366	236	408
367	237	407
368	238	407
369	238	406
370	239	405
371	239	404
372	240	404
373	240	403
374	241	403
375	242	402
376	243	401
377	243	400
378	244	400
379	245	399
380	245	399
381	246	398
382	247	397
383	247	397
384	248	396
385	248	395
386	249	395
387	250	394
388	250	394
389	251	393
390	252	392
391	252	392
392	253	391
393	253	390
394	254	389
395	255	389
396	255	388
397	256	388
398	257	387
399	257	386
400	258	386
401	259	385
402	259	385
403	260	384
404	261	383
405	261	383
406	262	382
407	263	381
408	263	381
409	264	380
410	265	379
411	265	379
412	266	378
413	266	377
414	267	377
415	268	376
416	268	375
417	269	374
